job_id,company,source,title,location,url,date_found,match_score,title_score,description_score,match_reasons
cccfe1bd-f15b-4fe5-b044-c793e7961c1b,Palantir,lever,"Forward Deployed Software Engineer, Internship - Defense Tech","Washington, D.C.",https://jobs.lever.co/palantir/cccfe1bd-f15b-4fe5-b044-c793e7961c1b,2026-08-07,33,25,8,title: internship (+10); title: defense (+15); description: defense (+8)
8bcf4f33-0a79-4248-bbfd-49ac4be9dd8e,Palantir,lever,"Software Engineer, Internship - Defense Tech","New York, NY",https://jobs.lever.co/palantir/8bcf4f33-0a79-4248-bbfd-49ac4be9dd8e,2026-08-07,33,25,8,title: internship (+10); title: defense (+15); description: defense (+8)
a483f41b-0da9-42ea-8ed6-cbf6eb93cc6d,Palantir,lever,"Software Engineer, Internship - Defense Tech","Palo Alto, CA",https://jobs.lever.co/palantir/a483f41b-0da9-42ea-8ed6-cbf6eb93cc6d,2026-08-07,33,25,8,title: internship (+10); title: defense (+15); description: defense (+8)
f17e98d0-046a-4e6e-9d65-ed0b12dd0ff7,Palantir,lever,"Software Engineer, Internship - Defense Tech","Washington, D.C.",https://jobs.lever.co/palantir/f17e98d0-046a-4e6e-9d65-ed0b12dd0ff7,2026-08-07,33,25,8,title: internship (+10); title: defense (+15); description: defense (+8)
0a838e66-1ab0-4fc4-b4d3-4671c0352278,Palantir,lever,"Software Engineer, New Grad - Defense","New York, NY",https://jobs.lever.co/palantir/0a838e66-1ab0-4fc4-b4d3-4671c0352278,2026-08-07,33,25,8,title: new grad (+10); title: defense (+15); description: defense (+8)
18d901fc-93bb-4d18-9f04-c72031e20d79,Palantir,lever,"Software Engineer, New Grad - Defense","Washington, D.C.",https://jobs.lever.co/palantir/18d901fc-93bb-4d18-9f04-c72031e20d79,2026-08-07,33,25,8,title: new grad (+10); title: defense (+15); description: defense (+8)
f362d7aa-360d-4059-ab38-f482742693b3,Palantir,lever,"Software Engineer, New Grad - Defense","Palo Alto, CA",https://jobs.lever.co/palantir/f362d7aa-360d-4059-ab38-f482742693b3,2026-08-07,33,25,8,title: new grad (+10); title: defense (+15); description: defense (+8)
R5049206-2,GE Vernova,workday,Młodszy Inżynier Elektryk/Junior Electrical Engineer (m/f/d),Wroclaw,https://gevernova.wd5.myworkdayjobs.com/en-US/Vernova_ExternalSite/job/Wroclaw/Modszy-Inynier-Elektryk-Junior-Electrical-Engineer--m-f-d-_R5049206-2,2026-08-07,25,25,0,title: junior (+5); title: electrical (+20)
R5037152-2,GE Vernova,workday,Verification and Validation Intern,Stafford,https://gevernova.wd5.myworkdayjobs.com/en-US/Vernova_ExternalSite/job/Stafford/Verification-and-Validation-Intern_R5037152-2,2026-08-07,40,10,30,title: intern (+10); description: power electronics (+12); description: transmission (+10); description: electrical (+8); description: protection (+10); description score capped at 30
R5039120-3,GE Vernova,workday,Entry Level Technical Field Advisor,2 Locations,https://gevernova.wd5.myworkdayjobs.com/en-US/Vernova_ExternalSite/job/Remote/Entry-Level-Technical-Field-Advisor_R5039120-3,2026-08-07,26,10,16,title: entry level (+10); description: electrical (+8); description: embedded (+8)
